Identifiant;Titre;Description;Domaine;Sous-domaine;Type de producteur;Direction;Service;Sous-direction / département;Boîte fonctionnelle;Précision domaine;Mots-clés;Données géolocalisées;Lien1;Lien2;Fréquence de mise à jour;Volumétrie;Type de format;Autres formats;Couverture géographique1;Couverture géographique2;Statut ouverture;Date de mise à jour;Actif / Inactif;Couverture géographique;Perspectives de diffusion
CAT-0441;Dispositifs d'éducation à l'image en Bourgogne Franche-Comté;Dispositifs d'éducation à l'image (école, collège et lycée au cinéma) et cinéma d'art et d'essai en Bourgogne Franche-Comté;Audiovisuel;Film et cinéma;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;;;;;En continu;1 Mo;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0462;Atlas du patrimoine archéologique littoral méditerranéen;Atlas du Patrimoine Archéologique Littoral Méditerranéen (PALM);Patrimoine;Archéologie;Service à compétence nationale;Département des recherches archéologiques subaquatiques et sous-marines (DRASSM);;;le-drassm@culture.gouv.fr;Archéologie maritime;image;;;http://www.atlaspalm.fr/fr/projet.html;Annuelle;;;;Provence-Alpes-Côte d’Azur;Corse;Non ouvert;2021-11-15;Actif;Provence-Alpes-Côte d’Azur,Corse;Ouvrable
CAT-0472;Photographies issues des opérations archéologiques sous-marines;Clichés photographiques issues des opérations archéologiques sous-marines produites par le DRASSM;Patrimoine;Archéologie;Service à compétence nationale;Département des recherches archéologiques subaquatiques et sous-marines (DRASSM);;;le-drassm@culture.gouv.fr;Archéologie maritime;budget;;;;En continu;plusieurs dizaines de To;;"nef ; tif ; jpeg";France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0492;Dossiers de protection des monuments historiques : situations cadastrales - DRAC Auvergne-Rhône-Alpes;Version numérisée des situations cadastrales  (réseau collectif DRAC_Nasaura);Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Auvergne-Rhône-Alpes;;;data-snum@culture.gouv.fr;;immeuble;;;;En continu;Tous documents confondus plus 10 Go;;pdf;Auvergne-Rhône-Alpes;;Non ouvert;2021-11-15;Actif;Auvergne-Rhône-Alpes;Ouvrable
CAT-0494;Rapports de fouilles archéologiques en Auvergne-Rhône Alpes;Fichiers numériques;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Auvergne-Rhône-Alpes;;;data-snum@culture.gouv.fr;;opération archéologique;;;;En continu;Tous documents confondus plus 10 Go;;pdf, tiff, jpeg;Auvergne-Rhône-Alpes;;Non ouvert;2021-11-15;Actif;Auvergne-Rhône-Alpes;Ouvrable
CAT-0515;Appel à projets dans le cadre du plan national de valorisation des contenus culturels en Provence-Alpes-Côte d'Azur;Fichier excel contenant les données des localisations, les types de structures, les porteurs de projets, les domaines d'activités, une synthèse des projets;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Provence-Alpes-Côte d'Azur;;;data-snum@culture.gouv.fr;;appel à projet (AAP);;;;Annuelle;;XLS;;Provence-Alpes-Côte d’Azur;;Non ouvert;2021-11-15;Actif;Provence-Alpes-Côte d’Azur;Ouvrable partiellement
CAT-0529;Base des monnaies issues des fouilles dans la Somme et l'Oise;Inventaire des monnaies mentionnées dans les rapports de fouille, ou trouvées lors de prospections;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Hauts-de-France;;Service régional de l'archéologie;data-snum@culture.gouv.fr;;"mobilier archéologique ; opération archéologique";;;;En continu;29498 notices;;;Hauts-de-France;;Non ouvert;2021-11-15;Actif;Hauts-de-France;ouvrable
CAT-0420;Compagnies et formations artistiques aidées en Bourgogne Franche-Comté;Liste des compagnies et formations artistiques (ensembles musicaux, compagnies théâtre, cirque, arts de la rue, etc.) soutenues en Bourgogne Franche-Comté par année;Spectacle vivant;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;Musique, danse, théâtre, cirque, arts de la rue;subvention;;;;En continu;38 Ko;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0443;Dispositifs de sensibilisation au spectacle vivant en Bourgogne Franche-Comté;Liste des dispositifs de sensibilisation au spectacle vivant (collèges en scène, jumelages, ateliers artistiques, etc.) en Bourgogne Franche-Comté;Spectacle vivant;Autre;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;;;;;En continu;1 Mo;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable partiellement
CAT-0486;Arrêtés de périmètres délimités des abords en Auvergne-Rhône-Alpes;Version numérique des arrêtés de périmètres délimités des abords (PDA);Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Auvergne-Rhône-Alpes;;;data-snum@culture.gouv.fr;Arrêtés de PDA (Périmètres délimités des abords);périmètre délimité des abords (PDA);;;;En continu;Tous arrêtés confondus plus de 10 Go;;pdf, tif, jpg;Auvergne-Rhône-Alpes;;Non ouvert;2021-11-15;Actif;Auvergne-Rhône-Alpes;Ouvrable
CAT-0749;Dossiers d’individus présumés émigrés pendant la Révolution française (1791-1815);"Entre 1789 et 1800, environ 150 000 personnes quittent la France à la suite des troubles de la Révolution française (nobles, ecclésiastiques, militaires, bourgeois, etc.).  À partir de 1796, le Directoire puis le Consulat mettent en place une législation qui autorise le retour des émigrés sous condition d’obtenir leur radiation des listes des émigrés, puis des lois d’amnistie (1799 et 1802).
Le jeu de données mis à disposition liste les quelque 44 600 individus mentionnés dans ces dossiers.";Archives;;Service à compétence nationale;Archives nationales;Direction des fonds;Département de la justice et de l'intérieur;;;"histoire ; révolution";Oui;https://data.culture.gouv.fr/explore/dataset/individus_presumes_emigres_revolution_francaise/;https://www.siv.archives-nationales.culture.gouv.fr/siv/IR/FRAN_IR_054792;Aucune;44 617 enregistrements;xlsx;;France métropolitaine;;Ouvert;2024-04-29;Actif;France métropolitaine;Ouvrable
CAT-0201;Périmètres de monuments historiques - Côtes-d'Armor (Bretagne);Localisation des périmètres;Patrimoine;;Direction régionale des affaires culturelles;DRAC Bretagne;;UDAP 22;data-snum@culture.gouv.fr;Urbanisme;périmètre de monument historique;;;http://atlas.patrimoines.culture.fr/atlas/;En continu;;CSV;;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;ouvrable
CAT-0233;Liste des Servitudes en Pays de la Loire;Liste des servitudes (R500, PDA, SPR) en Pays de la Loire saisies dans l'application O-zone;Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Pays de la Loire;;Pôle patrimoines, architecture et espages protégés;data-snum@culture.gouv.fr;Servitudes;"périmètre délimité des abords (PDA) ; site patrimonial remarquable (SPR)";;;;En continu;20 Mo;CSV;shp;Pays de la Loire;;Non ouvert;2021-11-15;Actif;Pays de la Loire;Ouvrable
CAT-0319;Tableaux de suivi des arrêtés pour l'archéologie préventive;Tableaux de suivi des arrêtés pour l'archéologie préventive, commun aux deux sites : un tableau par année;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Occitanie;;Pôle Patrimoines et Architecture/ Service régional de l'archéologie;data-snum@culture.gouv.fr;;;;;;En continu;171 Ko;XLS;;Occitanie;;Non ouvert;2021-11-15;Actif;Occitanie;Ouvrable partiellement
CAT-0449;Soutien aux archives départementales en Bourgogne Franche-Comté;Soutien aux archives départementales dans le cadre de la numérisation et restaurations de documents;Livres et Presse;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;Archives;numérisation;;;;En continu;2 Mo;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0545;Catalogue collectif des bibliothèques des musées nationaux (CCBMN);Notices bibliographiques versées par les 30 bibliothèques du réseau des bibliothèques des musées nationaux (RBMN) documentant les collections patrimoniales de 25 musées nationaux;Bibliothèques;;Service à compétence nationale;Centre de recherche et de restauration des musées de France (C2RMF);;Cellule Bibliothèques;rv-doc.paris-c2rmf@culture.gouv.fr;;"bibliothèque ; bibliographie";;;http://auroch.culture.fr/F?RN=512046737&local_base=bmn01;En continu;520 000 notices exemplaires;;;France métropolitaine;;Non ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0558;Mati (matériaux industriels);Matériaux industriels (produits Beaux-Arts et de restauration : peintures, adhésifs, vernis…) : références analysées, standards chimiques, standards industriels;Patrimoine;Musées;Service à compétence nationale;Centre de recherche et de restauration des musées de France (C2RMF);;Département de la Restauration;data-snum@culture.gouv.fr;Art contemporain;;;;;En continu;Environ 400 références;XLS;;Monde;;Non ouvert;2021-11-15;Actif;Monde;Ouvrable
CAT-0697;Dépenses culturelles des régions;Extrait des comptes de gestion des régions transmis par la Direction générale des finances publiques (DGFiP) comportant les montants des dépenses culturelles par domaine culturel et par nature comptable (fonctionnement, investissement, etc.).;;Financement;Administration centrale;Secrétariat Général;Département des études, de la prospective, des statistiques et de la documentation;;atlas.culture@culture.gouv.fr;;"statistiques  ; recettes et dépenses";;https://data.culture.gouv.fr/explore/dataset/depenses-culturelles-des-regions-par-secteurs/;;Annuelle;;XLS;SAS;France entière;;Ouvert;2022-10-25;Actif;France entière;Ouvrable
CAT-0702;Culture Chez Nous;La base #Culturecheznous répertorie une large offre de contenus culturels en ligne issue d'environ 500 opérateurs culturels et artistiques situés en France. A destination de tous les publics, l'ensemble des ressources est disponible sur la plateforme culturecheznous.gouv.fr qui agrège plus de 1 000 propositions de contenus : expositions et visites virtuelles, films, vidéos, spectacles, podcasts, conférences ou cours, jeux, tutos et ateliers...;Pluridisciplinaire;;Administration centrale;Délégation générale à la transmission aux territoires et à la démocratie culturelle;Sous-direction de la participation culturelle;Bureau des pratiques culturelles;data-snum@culture.gouv.fr;;géolocalisation;Oui;https://data.culture.gouv.fr/explore/dataset/culturecheznous;https://www.culturecheznous.gouv.fr/;En continu;;CSV;;France entière;;Ouvert;2021-12-06;Actif;France entière;Ouvrable
CAT-0386;Emplois et entreprises culturelles du secteur privé (2007-2020) en Centre-Val de Loire;Évolution du nombre d’entreprises et de salariés du secteur culturel privé. Les entreprises et salariés sont regroupés par commune et secteur d’activité*. L’approche diachronique met clairement en évidence l’évolution des différents secteurs. * Le département des études, de la prospective et de la statistique (DEPS) du ministèrede la Culture a identifié 9 domaines et 34 activités relevant du champ culturel;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Centre-Val de Loire;;;data-snum@culture.gouv.fr;;emploi;;;https://www.acoss.fr/home/observatoire-economique/donnees-statistiques/bases-de-donnees.html;En continu;;ODS;;Centre-Val de Loire;;Non ouvert;2021-11-15;Actif;Centre-Val de Loire;Ouvrable
CAT-0586;Cartes des zones de présomption de prescription archéologique en Nouvelle Aquitaine;"Fichier des données géoréférencées (polygones et tables attributaires) traçant les polygones des zones de présomption de prescription archéologique (ZPPA) ; et dans la table attributaire le classement par type de zonage A, B ou C. Mais attention les seuils peuvent varier il faut donc toujours se reporter à l’arrêté";Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;"arrêté ; zone de présomption de prescription archéologique (ZPPA) ; géolocalisation";Oui;;;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0649;Tableaux des titres de presse aidés de 2014 à 2022 et des groupes aidés de 2016 à 2019;Publication chaque année de deux tableaux sur les titres de presse aidés et les principaux groupes de presse aidés représentant les montants par type d'aide perçus chaque année.;Livres et Presse;Presse;Administration centrale;Direction générale des médias et des industries culturelles;Service des médias;Bureau du régime économique de la presse;data-snum@culture.gouv.fr;;;;"https://data.culture.gouv.fr/explore/dataset/aides-a-la-presse-classement-des-titres-de-presse-aides/ ; https://data.culture.gouv.fr/explore/dataset/aides-a-la-presse-classement-des-principaux-groupes-de-presse-aides";https://data.culture.gouv.fr/explore/?disjunctive.theme&disjunctive.keyword&sort=modified&refine.theme=Presse&refine.keyword=aide;;;;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable partiellement
CAT-0710;Thésaurus iconographique, système descriptif des représentations de François Garnier;La représentation figurée – ce que représente une œuvre- est un moyen d'accès important aux collections des musées. L'outil retenu par le Ministère de la culture et de la communication pour l'analyse des représentations figurées dans les bases de données patrimoniales est le thésaurus de François Garnier. Le Service des musées de France met à disposition de tous cet outil sous une forme téléchargeable au format pdf.;Patrimoine;Musées;Administration centrale;Direction générale des patrimoines et de l'architecture;Service des musées de France;sous-direction des collections;;;référentiel;;;https://www.culture.gouv.fr/Thematiques/Musees/Pour-les-professionnels/Conserver-et-gerer-les-collections/Informatiser-les-collections-d-un-musee-de-France/Vocabulaires-scientifiques-du-Service-des-musees-de-France/Thesaurus-iconographique-systeme-descriptif-des-representations-de-Francois-Garnier;Aucune;22 fichiers;;PDF;France entière;;Non ouvert;2021-12-15;Actif;France entière;Ouvrable
CAT-0718;Déplacements des présidents de la République et des premiers ministres depuis 1945;Liste des déplacements des présidents de la République et des premiers ministres (1945-2008), en France et à l'étranger, à partir des inventaires des archives versées par le service des voyages officiels.;Archives;;Service à compétence nationale;Archives nationales;;Direction des fonds / Département Justice et Intérieur / Pôle Intérieur;;Histoire;"histoire ; politique";Oui;https://data.culture.gouv.fr/explore/dataset/deplacements-presidents-republique-et-premiers-ministres-depuis-1945/;https://www.siv.archives-nationales.culture.gouv.fr/siv/NP/FRAN_NP_001397;Annuelle;2406 enregistrements;CSV;XML;Monde;;Ouvert;2022-06-27;Actif;Monde;Ouvrable
CAT-0724;Revendications et restitutions d’archives publiques;Chaque année, l’État réintègre dans les collections publiques des dizaines de documents d’archives qui en ont été détournés à des périodes plus ou moins anciennes. Le présent jeu de données agrège l'ensemble des données relatives aux demandes de restitution menées auprès des détenteurs effectués en 2021.;Archives;;Administration centrale;Direction générale des patrimoines et de l'architecture;Service interministériel des archives de France;;;;;;https://data.culture.gouv.fr/explore/dataset/revendications-et-restitutions-d-archives-publiques/;;;;CSV;XLS;;;Ouvert;2022-11-10;Actif;;Ouvrable
CAT-0734;Chiffres clés dans le secteur du livre;Séries longues des chiffres-clés du livre;Livres et Presse;Livre;Administration centrale;Direction générale des médias et des industries culturelles;Service du livre et de la lecture;;;;"indicateur ; statistiques";;https://data.culture.gouv.fr/explore/dataset/chiffres-cles-pour-le-secteur-du-livre/information/;;Annuelle;;XLSX;;France entière;;Ouvert;2023-04-20;Actif;France entière;Ouvrable
CAT-0751;Label 100% EAC;Lancé en 2021 par le Haut Conseil de l’éducation artistique et culturelle (HCEAC), le label 100% EAC reconnaît l’engagement d’un territoire en faveur de la généralisation de l’éducation artistique et culturelle (EAC).;Gestion et administration;Organisation;Administration centrale;Délégation générale à la transmission aux territoires et à la démocratie culturelle;Sous-direction de la participation à la vie culturelle;;data-snum@culture.gouv.fr;;"éducation artistique et culturelle ; EAC";;https://data.culture.gouv.fr/explore/dataset/label-100-eac/;;;;;;France entière;;Ouvert;2024-07-05;Actif;France entière;Ouvrable
CAT-0063;Public des salles de cinéma;Structure du public du cinéma selon les catégories socio-professionnelles depuis 1993;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0108;Liste des immeubles protégés au titre des Monuments Historiques (extrait de la base Mérimée);Ensemble des immeubles protégés au titre des monuments historiques (45800 immeubles);Patrimoine;Monuments;Service à compétence nationale;Médiathèque de l’architecture et du patrimoine;;Service de la Documentation;mediatheque.patrimoine@culture.gouv.fr;;"monument historique (MH) ; photographie ; lieu culturel";;https://data.culture.gouv.fr/explore/dataset/liste-des-immeubles-proteges-au-titre-des-monuments-historiques;https://www.pop.culture.gouv.fr/;En continu;;ODS;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0140;La circulation des archives en Europe et hors Europe : suivi mensuel des ventes aux enchères (depuis 2020);Suivi des ventes aux enchères : nom de l'opérateur de vente, date de la vente, description du(des) lot(s), montant de l'achat, service destinataire, exercice du droit de préemption;Archives;;Administration centrale;Direction générale des patrimoines et de l'architecture;Service interministériel des Archives de France;sous-direction  de la collecte , de la conservation et du numérique;data-snum@culture.gouv.fr;;;;https://data.culture.gouv.fr/explore/dataset/circulation-archives-europe-et-hors-europe-suivi-mensuel-des-ventes-au-encheres/;;En continu;72 Ko;XLS;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0045;Top 200 des films en terme d'entrées depuis 1945;Meilleurs résultats depuis 1945. Liste avec titre, réalisateur, nationalité, date de sortie et entrées carrière;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0121;Inventaires d'archives accessibles sur le portail FranceArchives;Les Inventaires des archives publiques (inventaires des archives nationales et départementales), des partenaires du portail national des archives - francearchives.fr. Ces métadonnées ont été converties en XML (APE-EAD) qui est un dénominateur commun entre les différentes versions d’EAD (Encoded Archival Description);Archives;;Administration centrale;Direction générale des patrimoines et de l'architecture;Service interministériel des Archives de France;Sous-direction du pilotage, de la communication et de la valorisation des archives/Bureau de la diffusion et de la valorisation numérique;francearchives.siaf@culture.gouv.fr;;;;https://data.culture.gouv.fr/explore/dataset/inventaires-des-archives-publiques-francearchives;https://www.francearchives.fr;En continu;52 000 inventaires / 12 millions de descriptions;XML;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0202;Sites Patrimoniaux Remarquables - Finistère;Localisation des Sites Patrimoniaux Remarquables (SPR);Patrimoine;;Direction régionale des affaires culturelles;DRAC Bretagne;;UDAP 29;data-snum@culture.gouv.fr;Urbanisme;"site patrimonial remarquable (SPR) ; géoréférencement";Oui;;http://atlas.patrimoines.culture.fr/atlas/;En continu;;CSV;;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;ouvrable
CAT-0275;FranceTerme;Base de Termes, toponymes, expressions et définitions publiés au Journal officiel par la Commission d'enrichissement de la langue française au titre du décret n°96-602 du 3 juillet 1996 relatif à l’enrichissement de la langue française, modifié par décret n°2015-341 du 25 mars 2015;Langues;Langue française;Administration centrale;Délégation générale à la langue française et aux langues de France;Mission développement et enrichissement de la langue française;;franceterme@culture.gouv.fr;Terminologie et toponymie;"terminologie ; lexique";;https://www.data.gouv.fr/fr/datasets/base-franceterme-termes-scientifiques-et-techniques/;http://www.culture.fr/franceterme;En continu;< 10000 fiches;XML;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0308;Inventaire de description et de localisation des biens archéologiques mobiliers;Base de données d'inventaire de localisation et de suivi des biens archéologiques mobiliers (Bernard 3);Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Occitanie;;Pôle Patrimoines et Architecture/ Service régional de l'archéologie;data-snum@culture.gouv.fr;;;;;;En continu;(+ de 500 photos à 5 Mo : 2,5 Go);XLS;format web : pdf, jpeg,;Occitanie;;Non ouvert;2021-11-15;Actif;Occitanie;Ouvrable partiellement
CAT-0011;Zones de présomption de prescriptions archéologiques de Normandie;Fichier des zones de présomption de prescriptions archéologiques (ZPPA) de Normandie, accessible dans l'atlas des Patrimoines, et au sein du Recueil des actes administratifs de la Préfecture de Normandie - base PATRIARCHE;Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Normandie;;;sra.normandie@culture.gouv.fr;;zone de présomption de prescription archéologique (ZPPA);;;;En continu;;;la base est sur Oracle. Possibilité d'export dans plusieurs formats (pdf, ods, rtf, csv, dbf…);Normandie;;Non ouvert;2021-11-15;Actif;Normandie;Ouvrable
CAT-0078;Offre Vidéo à la Demande (VàD) en location à l’acte (références actives);Depuis 2016, nombre de références actives (ayant été consommé au moins une fois sur la période étudiée) selon le type de programmes;Audiovisuel;Vidéo;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France entière;;Ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0169;Référentiel d'indexation des fonctions des entités productrices des fonds d'archives;Référentiel permettant d'indexer les grands domaines d'activité des entités productrices des fonds d'archives conservées aux Archives Nationales (AN);Archives;;Service à compétence nationale;Archives nationales;;Direction du numérique et de la conservation / Département de l'administration des données;data-snum@culture.gouv.fr;;référentiel;;http://data.culture.fr/entrepot/ARCHIVESNATIONALES/FRAN_RI_011_Fonctions.csv;;En continu;156 notices dans un fichier XML unique;XML;;France entière;;Non ouvert;2023-06-07;Actif;France entière;Ouvrable
CAT-0196;Sites Patrimoniaux Remarquables - Ille-et-Vilaine (Bretagne);Localisation des Sites Patrimoniaux Remarquables (SPR);Patrimoine;;Direction régionale des affaires culturelles;DRAC Bretagne;;UDAP 35;data-snum@culture.gouv.fr;Urbanisme;"site patrimonial remarquable (SPR) ; géoréférencement";Oui;;http://atlas.patrimoines.culture.fr/atlas/;En continu;;CSV;;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;ouvrable
CAT-0456;Liste des élus de Bourgogne-Franche-Comté;Liste des maires, adjoints à la culture, au patrimoine et à l'urbanisme/Présidents et vice-présidents des prinicipales intercommunalités de Bourgogne Franche-Comté;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Service Information-documentation;data-snum@culture.gouv.fr;"Collectivités territoriales ; Politique locale";;;;;Annuelle;27 Ko;DOC;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0080;Marché du jeu vidéo;Chiffre d'affaires selon le support de jeux et le type d'achats;Audiovisuel;;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;France entière;Ouvert;2021-11-15;Actif;France métropolitaine,France entière;Ouvrable
CAT-0141;Tableau de bord mensuel de suivi des actions de revendication (depuis 2020);Suivi des actions de revendication : nom du détenteur des documents, date de l'action, description des documents (typologie documentaire et période) et nombre de lots, service instructeur et destinataire, sort final (cloture, en cours, contentieux juridique);Archives;;Administration centrale;Direction générale des patrimoines et de l'architecture;Service interministériel des Archives de France;sous-direction  de la collecte , de la conservation et du numérique;data-snum@culture.gouv.fr;;;;;;En continu;72 Ko;XLS;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0450;Contacts pour le pôle création industries et action culturelles - DRAC BFC;Liste des contacts pour le pôle création industries et action culturelles (CIAC) - Tous domaines confondus;Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;annuaire;;;;En continu;420 Ko;XLS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable partiellement
CAT-0453;Suivi des dotations par programme - DRAC Bourgogne Franche-Comté;Suivi dotations par Budget opérationnels de programme (BOP);Pluridisciplinaire;;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;"budget ; recettes et dépenses";;;;En continu;20 Ko;ODS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0051;Plans de sortie des films;Sur les 5 dernières années : structure du plan de sortie selon le type de films et le type d'établissements;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0448;Liste des bibliothèques aidées en Bourgogne Franche-Comté;Liste des communes et Établissement public de coopération intercommunale (EPCI) soutenus au titre de la Dotation générale de décentralisation (DGD) en Bourgogne Franche Comté par année;Livres et Presse;Livre;Direction régionale des affaires culturelles;DRAC Bourgogne-France-Comté;;Pôle CIAC;data-snum@culture.gouv.fr;;bibliothèque;;;;En continu;1 Mo;ODS;;Bourgogne-Franche-Comté;;Non ouvert;2021-11-15;Actif;Bourgogne-Franche-Comté;Ouvrable
CAT-0579;Liste des archives de fouilles existantes par opération du Haut-Rhin;Archives de fouilles conservées au Service régional de l'archéologie (SRA);Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Grand-Est;;;data-snum@culture.gouv.fr;;opération archéologique;;;;En continu;;ODS;;Grand Est;;Non ouvert;2021-11-15;Actif;Grand Est;Ouvrable
CAT-0081;Production, fréquentation et équipement cinématographique à l'international;Depuis 2005, production, distribution, fréquentation et parc cinématographique dans l'Union Européenne, en Allemagne, en Espagne, en Italie, au Royaume-Uni, en Russie, aux Etats-Unis, au Mexique, au Japon, en Chine;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;Monde;;Ouvert;2021-11-15;Actif;Monde;Ouvrable
CAT-0206;Périmètres délimités des abords - Morbihan (Bretagne);Localisation des périmètres délimités des abords (PDA);Patrimoine;;Direction régionale des affaires culturelles;DRAC Bretagne;;UDAP 56;data-snum@culture.gouv.fr;Urbanisme;"périmètre délimité des abords (PDA) ; géoréférencement";Oui;;http://atlas.patrimoines.culture.fr/atlas/;En continu;;CSV;;Bretagne;;Non ouvert;2021-11-15;Actif;Bretagne;ouvrable
CAT-0223;Dispositifs de sensibilisation au spectacle vivant en Pays de la Loire;Liste des dispositifs de sensibilisation au spectacle vivant (collèges en scène, jumelages, ateliers artistiques, etc.) en Pays de la Loire;Spectacle vivant;Autre;Direction régionale des affaires culturelles;DRAC Pays de la Loire;;Pôle CICACT;data-snum@culture.gouv.fr;;;;;;Annuelle;1 Mo;XLS;;Pays de la Loire;;Non ouvert;2021-11-15;Actif;Pays de la Loire;Ouvrable
CAT-0343;Bilans des actions de protection du patrimoine - DRAC Grand-Est;Bilans des actions de la mission de la protection du patrimoine;Patrimoine;Monuments;Direction régionale des affaires culturelles;DRAC Grand-Est;;Conservation régionale des monuments historiques;data-snum@culture.gouv.fr;;"immeuble ; objet mobilier";;;;En continu;;;pdf;Grand Est;;Non ouvert;2021-11-15;Actif;Grand Est;Ouvrable
CAT-0055;Distributeurs de films;Nombre de distributeurs actifs et encaissements selon le type de films et de distributeurs depuis 1998;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
